country,month,sector,annex,risk_zone,n_cyber_tenders,n_ict72_tenders,est_value_cyber_real,treat_month,post_eforms
HR,2021-07,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-07,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-07,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-07,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-07,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-07,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,education,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-08,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-08,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,other_unknown,,0,0.0,13.0,0.0,2024-02,0
HR,2021-08,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-08,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-08,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-08,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-08,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,education,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-09,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-09,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,other_unknown,,0,0.0,10.0,0.0,2024-02,0
HR,2021-09,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-09,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-09,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-09,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-09,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,education,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-10,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-10,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,other_unknown,,0,0.0,5.0,0.0,2024-02,0
HR,2021-10,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-10,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-10,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-10,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-10,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,education,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-11,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-11,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,other_unknown,,0,0.0,10.0,0.0,2024-02,0
HR,2021-11,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-11,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-11,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-11,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-11,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,education,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-12,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-12,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,other_unknown,,0,0.0,18.0,0.0,2024-02,0
HR,2021-12,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-12,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,social,,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-12,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2021-12,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2021-12,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-01,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-01,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,other_unknown,,0,0.0,5.0,0.0,2024-02,0
HR,2022-01,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-01,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-01,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-01,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-01,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-02,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-02,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,other_unknown,,0,0.0,13.0,0.0,2024-02,0
HR,2022-02,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-02,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-02,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-02,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-02,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-03,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-03,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,other_unknown,,0,0.0,24.0,0.0,2024-02,0
HR,2022-03,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-03,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-03,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-03,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-03,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-04,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-04,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,other_unknown,,0,0.0,19.0,0.0,2024-02,0
HR,2022-04,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-04,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-04,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-04,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-04,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-05,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-05,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,other_unknown,,0,0.0,24.0,0.0,2024-02,0
HR,2022-05,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-05,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-05,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-05,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-05,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-06,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-06,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,other_unknown,,0,0.0,24.0,0.0,2024-02,0
HR,2022-06,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-06,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-06,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-06,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-06,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-07,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-07,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,other_unknown,,0,0.0,13.0,0.0,2024-02,0
HR,2022-07,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-07,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-07,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-07,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-07,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-08,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-08,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,other_unknown,,0,0.0,14.0,0.0,2024-02,0
HR,2022-08,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-08,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-08,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-08,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-08,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-09,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-09,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,other_unknown,,0,0.0,16.0,0.0,2024-02,0
HR,2022-09,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-09,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-09,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-09,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-09,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-10,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-10,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,other_unknown,,0,0.0,17.0,0.0,2024-02,0
HR,2022-10,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-10,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-10,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-10,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-10,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-11,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-11,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,other_unknown,,0,0.0,21.0,0.0,2024-02,0
HR,2022-11,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-11,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-11,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-11,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-11,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,education,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-12,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-12,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,other_unknown,,0,0.0,25.0,0.0,2024-02,0
HR,2022-12,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-12,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,social,,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-12,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2022-12,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2022-12,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,education,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-01,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-01,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,other_unknown,,0,0.0,8.0,0.0,2024-02,0
HR,2023-01,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-01,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,social,,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-01,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-01,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-01,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,education,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-02,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-02,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,other_unknown,,0,0.0,13.0,0.0,2024-02,0
HR,2023-02,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-02,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,social,,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-02,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-02,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-02,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,education,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-03,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-03,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,other_unknown,,0,0.0,28.0,0.0,2024-02,0
HR,2023-03,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-03,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,social,,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-03,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-03,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-03,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,education,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-04,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-04,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,other_unknown,,0,0.0,14.0,0.0,2024-02,0
HR,2023-04,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-04,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,social,,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-04,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-04,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-04,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,defence,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,education,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,energy_gas,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-05,energy_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,environment,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,health,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-05,housing,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,other_unknown,,0,0.0,23.0,0.0,2024-02,0
HR,2023-05,postal,II,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,public_admin,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-05,public_order,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,recreation,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,social,,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,space,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-05,transport_maritime,I,1,0.0,0.0,0.0,2024-02,0
HR,2023-05,transport_other,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-05,water,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-06,banking_finance,I,0,0.0,0.0,0.0,2024-02,0
HR,2023-06,defence,,0,0.0,0.0,0.0,2024-02,0
